OBS TIME CONC
1 10 12.1605409457518
2 20 11.7518640877571
3 30 12.2305017792099
4 40 14.9411806695903
5 50 11.9453598124369
6 60 12.7112328179105
7 70 9.56085853517337
8 80 10.2313621753722
9 90 11.9507322707466
10 100 10.2643538679352
11 110 9.76375373785046
12 120 9.08251842324527
13 130 8.19949275599457
14 140 12.0343696891568
15 150 15.8809988139438
16 160 15.1560802367184
17 170 12.325567851215
18 180 14.6943337247498
19 190 12.0580712008904
20 200 10.4498438375853
21 210 16.020590510264
22 220 11.1537373160141
23 230 12.7749025874076
24 240 10.2899962706099
25 250 10.962787062749
26 260 16.0762042082508
27 270 12.6380647537835
28 280 10.5749415918195
29 290 10.2062873804919
30 300 9.09829368414187
31 310 8.93979348121143
32 320 7.67490975698308
33 330 7.53683105096675
34 340 6.780690457123
35 350 6.60594863831201
36 360 6.04791843392423
37 370 11.5396625625444
38 380 11.0748657509821
39 390 9.8345163131706
40 400 8.27455745471376
41 410 11.2787544029719
42 420 10.5311267061868
43 430 8.8317386231207
44 440 8.77543112055513
45 450 8.22463609323631
46 460 7.62910119010554
47 470 6.77701279489678
48 480 6.52356206719858
49 490 12.8483920475312
50 500 11.0731671618241
51 510 10.147751207935
52 520 7.91149530024982
53 530 12.8094987123447
54 540 12.4119802834017
55 550 11.4028873104485
56 560 9.8765466870596
57 570 9.96512576380247
58 580 9.34782272487146
59 590 12.9432386427885
60 600 10.8978796239435
61 610 10.1068448613907
62 620 9.19462072343928
63 630 7.3988193324643
64 640 9.17756830546398
65 650 8.1369380780095
66 660 8.96046880405377
67 670 7.44360534957619
68 680 6.29370360033536
69 690 5.15691503881445
70 700 5.2370088198256
71 710 5.83658721141789
72 720 6.4347384073459
