OBS TIME CONC
0 0 4.66
1 10 4.71
2 20 4.14
3 30 3.78
4 40 3.86
5 50 3.3
6 60 3.84
7 70 3.35
8 80 2.98
9 90 3.39
10 100 3.24
11 110 2.84
12 120 5.22
13 130 6.7
14 140 5.76
15 150 5.64
16 160 5.42
17 170 4.34
18 180 4.29
19 190 4.42
20 200 3.98
21 210 3.9
22 220 3.78
23 230 4.42
24 240 5.82
25 250 6.05
26 260 5.19
27 270 5.48
28 280 4.84
29 290 4.36
30 300 4.21
31 310 3.72
32 320 3.37
33 330 3.48
34 340 5.89
35 350 7.33
36 360 7.83
37 370 6.36
38 380 5.45
39 390 4.86
40 400 4.82
41 410 4.02
42 420 4.19
43 430 4.28
44 440 5.71
45 450 5.08
46 460 4.83
47 470 3.95
48 480 4.32
49 490 4.34
50 500 3.64
51 510 3.44
52 520 3.73
53 530 3.3
54 540 7.94
55 550 7.18
56 560 6.28
57 570 6.24
58 580 5.48
59 590 5.19
60 600 4.58
61 610 4.82
62 620 4.26
63 630 4.4
64 640 3.6
65 650 3.94
66 660 5.21
67 670 5.07
68 680 5.54
69 690 4.35
70 700 3.81
71 710 3.58
72 720 4.22
73 730 3.72
74 740 3.74
75 750 3.55
76 760 4.75
77 770 6.21
78 780 6.18
79 790 5.35
80 800 5.01
81 810 5.03
82 820 4.21
83 830 4.18
84 840 4.09
85 850 4.05
86 860 3.42
87 870 3.17
88 880 3.27
89 890 3
90 900 2.76
91 910 3.23
92 920 2.68
93 930 2.76
94 940 3.14
95 950 5.15
96 960 5.99
97 970 5.2
98 980 4.96
99 990 4.98
100 1000 4.31
101 1010 3.97
102 1020 4.37
103 1030 4.34
104 1040 3.64
105 1050 3.46
106 1060 3.26
107 1070 3.43
108 1080 3.39
109 1090 3.08
110 1100 3
111 1110 2.74
112 1120 2.63
113 1130 5.7
114 1140 5.98
115 1150 5.64
116 1160 4.99
117 1170 4.35
118 1180 3.93
119 1190 3.43
120 1200 3.82
121 1210 3.95
122 1220 3.64
123 1230 3.72
124 1240 3.29
125 1250 5.69
126 1260 5.24
127 1270 5.18
128 1280 4.87
129 1290 3.8
130 1300 4.01
131 1310 4.04
132 1320 3.7
133 1330 3.92
134 1340 3.38
135 1350 3.28
136 1360 3.65
137 1370 3.35
138 1380 3.68
139 1390 3.95
140 1400 4.28
141 1410 4.02
142 1420 3.85
143 1430 3.55
